Time index,Mean pixel intensity difference
1,1.595000
2,1.338000
3,1.390000
4,1.346000
5,1.445000
6,1.461000
7,1.367000
8,1.578000
9,1.436000
10,1.408000
11,1.387000
12,1.353000
13,1.457000
14,1.386000
15,1.392000
16,1.363000
17,1.377000
18,1.396000
19,1.347000
20,1.379000
21,1.381000
22,1.382000
23,1.410000
24,1.415000
25,1.369000
26,1.364000
27,1.352000
28,1.368000
29,1.373000
30,1.434000
31,1.404000
32,1.496000
33,1.374000
34,1.365000
35,1.390000
36,1.405000
37,1.383000
38,1.417000
39,1.398000
40,1.419000
41,1.422000
42,1.406000
43,1.394000
44,1.392000
45,1.395000
46,1.385000
47,1.357000
48,1.371000
49,1.380000
50,1.381000
51,1.398000
52,1.372000
53,1.389000
54,1.390000
55,1.392000
56,1.386000
57,1.432000
58,1.383000
59,1.385000
60,1.401000
61,1.423000
62,1.390000
63,1.371000
64,1.382000
65,1.385000
66,1.398000
67,1.395000
68,1.392000
69,1.387000
70,1.390000
71,1.526000
72,1.401000
73,1.407000
74,1.436000
75,1.420000
76,1.412000
77,1.400000
78,1.392000
79,1.427000
80,1.394000
81,1.412000
82,1.414000
83,1.396000
84,1.403000
85,1.406000
86,1.388000
87,1.389000
88,1.393000
89,1.404000
90,1.373000
91,1.398000
92,1.423000
93,1.477000
94,1.389000
95,1.397000
96,1.416000
97,1.406000
98,1.370000
99,1.382000
100,1.386000
101,1.391000
102,1.402000
103,1.399000
104,1.392000
105,1.373000
106,1.383000
107,1.439000
108,1.419000
109,1.375000
110,1.370000
111,1.369000
112,1.365000
113,1.447000
114,1.368000
115,1.373000
116,1.397000
117,1.368000
118,1.373000
119,1.357000
120,1.346000
121,1.370000
122,1.376000
123,1.334000
124,1.349000
125,1.339000
126,1.351000
127,1.348000
128,1.359000
129,1.357000
130,1.360000
131,1.382000
132,1.370000
133,1.344000
134,1.365000
135,1.328000
136,1.397000
137,1.412000
138,1.349000
139,1.328000
140,1.356000
141,1.428000
142,1.385000
143,1.354000
144,1.346000
145,1.350000
146,1.334000
147,1.351000
148,1.330000
149,1.326000
150,1.328000
151,1.352000
152,1.363000
153,1.347000
154,1.383000
155,1.404000
156,1.415000
157,1.346000
158,1.345000
159,1.363000
160,1.340000
161,1.335000
162,1.355000
163,1.380000
164,1.410000
165,1.311000
166,1.374000
167,1.363000
168,1.327000
169,1.346000
170,1.304000
171,1.327000
172,1.301000
173,1.334000
174,1.335000
175,1.324000
176,1.356000
177,1.346000
178,1.352000
179,1.320000
180,1.351000
181,1.503000
182,1.669000
183,1.489000
184,1.327000
185,1.330000
186,1.341000
187,1.398000
188,1.332000
189,1.417000
190,1.332000
191,1.400000
192,1.359000
193,1.337000
194,1.319000
195,1.326000
196,1.348000
197,1.340000
198,1.348000
199,1.328000
200,1.343000
201,1.348000
202,1.323000
203,1.324000
204,1.341000
205,1.344000
206,1.346000
207,1.365000
208,1.323000
209,1.341000
210,1.349000
211,1.323000
212,1.353000
213,1.350000
214,1.345000
215,1.332000
216,1.330000
217,1.324000
218,1.344000
219,1.328000
220,1.331000
221,1.327000
222,1.357000
223,1.325000
224,1.351000
225,1.493000
226,1.387000
227,1.343000
228,1.376000
229,1.364000
230,1.368000
231,1.373000
232,1.363000
233,1.329000
234,1.345000
235,1.334000
236,1.330000
237,1.335000
238,1.345000
239,1.383000
240,1.351000
241,1.362000
242,1.369000
243,1.349000
244,1.409000
245,1.701000
246,1.429000
247,1.395000
248,1.334000
249,1.360000
250,1.364000
251,1.329000
252,1.362000
253,1.348000
254,1.378000
255,1.441000
256,1.335000
257,1.345000
258,1.337000
259,1.318000
260,1.311000
261,1.329000
262,1.327000
263,1.319000
264,1.328000
265,1.312000
266,1.341000
267,1.293000
268,1.326000
269,1.303000
270,1.314000
271,1.310000
272,1.298000
273,1.289000
274,1.309000
275,1.316000
276,1.333000
277,1.328000
278,1.337000
279,1.339000
280,1.332000
281,1.323000
282,1.334000
283,1.319000
284,1.317000
285,1.320000
286,1.323000
287,1.319000
288,1.336000
289,1.323000
290,1.323000
291,1.318000
292,1.340000
293,1.343000
294,1.336000
295,1.331000
296,1.321000
297,1.321000
298,1.335000
299,1.332000
